기업명,산업,주요사업
삼성전자,이동전화기 제조업,휴대폰컴퓨터네트워크시스템핵심칩반도체부품디스플레이패널가전제품의료기기프린터 제조
쿠팡,물류·운송·배송,화물 운송 중개 대리 및 관련 서비스 업 그 외 기타 운송 관련 서비스업
lg전자,통신 및 방송 장비 제조업,TV(스마트TVSoftware Platform)가전(냉장고세탁기에어컨)차량용 부품(AVNTelematics전기차용구동계)IT(모니터PC)인포메이션디스플레이 제조
에스씨케이컴퍼니,음식료·외식·프랜차이즈,국내에 새로운 커피 문화를 소개
씨제이올리브영,화장품 및 화장용품 도매업,화장품방향제 도소매체인화편의점/부동산 임대
엘지이노텍,그 외 기타 전자부품 제조업,모바일자동차디스플레이반도체차량용LED사물인터넷소재소자전기전자 부품 제조판매
엘지디스플레이,액정 표시장치 제조업,액정표시장치(TFT-LCD) 제조
현대자동차,승용차 및 기타 여객용 자동차 제조업,자동차(승용차버스트럭특장차)자동차부품자동차전착도료 제조차량정비사업/항공기부속품 도소매/별정통신부가통신/부동산 임대
에프알엘코리아,회계·세무·법무,컨설팅 재무 회계 급여 법률 서비스 아웃소싱
이마트,대형 마트,대형마트
cj제일제당,설탕 제조업,설탕소맥분조미식품육가공식품(돈육돼지비계돼지식용설육)대두가공식품사료의약품생활화학제품 제조도매무역/통신판매
트랜스코스모스코리아,콜센터 및 텔레마케팅 서비스업,텔레 마케팅고객관계관리 구축/서적 출판인쇄제책/가공식품화장품유아용품 도소매무역
유베이스,콜센터 및 텔레마케팅 서비스업,컨택센터 운영AICC 서비스IT인프라 구축운영컨텐츠 모니터링ASP 제공솔루션 개발인재 파견
한국철도공사,철도 여객 운송업,철도 운송
국민건강보험공단,건강 보험업,국민건강보험사업(가입자피부양자 자격관리보험료 등 징수금 부과징수보험급여의 관리 등)
한샘,생활용 가구 도매업,주방가구(씽크대)인테리어가구 판매제조/주택신축판매
위메프,쇼핑몰·오픈마켓·소셜커머스,소셜커머스
한국전력공사,전기·전자·제어,전기.전자 등
지에스리테일,백화점·유통·도소매,도소매
씨유,컴퓨터시스템 통합 자문 및 구축 서비스업,컨설팅시스템 구축/운영토탈 아웃소싱 AI클라우드스마트팩토리 등 IT신기술 기반의 DX사업
lg화학,석유화학계 기초 화학물질 제조업,유화기능합성수지재생섬유소기초화학물질산업재리튬이온전지평광판PVC 제조도매
에스케이하이닉스,다이오드 트랜지스터 및 유사 반도체소자 제조업,반도체컴퓨터통신기기 제조도매
씨제이씨지브이,영화관 운영업,영화상영영화관 운영
한국토지주택공사,공기업·공공기관,장기임대공동주택건물토지 임대/주택신축판매공사/증기온수 공급/음식점(구내식당)
아모레퍼시픽,화장품 제조업, 화장품 생활용품 제조 판매
에이치디현대중공업,강선 건조업,강선건조수리 제조
엘지씨엔에스,컴퓨터시스템 통합 자문 및 구축 서비스업,컨설팅시스템 구축/운영토탈 아웃소싱 AI클라우드스마트팩토리 등 IT신기술 기반의 DX사업
근로복지공단,보건 및 복지 행정,중소기업근로자복지실업자생활안정지원공공 서비스산재 보험
삼성에스디아이,축전지 제조업,2차전지전자재료 제조판매
케이티,무선 및 위성 통신업,유무선통신사업공중전기통신사업인터넷전자상거래네트워크(전용회선데이터통신초고속사업 등)
유니에스,상용 인력 공급 및 인사관리 서비스업,인력공급고용알선경비용역건물(시설)유지관리
효성아이티엑스,솔루션·SI·CRM·ERP,스마트팩토리 IT/CDN/SI 서비스 데이터센터 Display 솔루션 컨택센터 운영
삼성중공업,강선 건조업, 선박(벌크선 원유운반선) 철구조물 에너지플랜트 생산 판매/토목건축업
새마을금고,은행·금융,㈔새마을금고중앙회
세스코,제약·보건·바이오,종합 환경 위생 서비스
네이버,포털 및 기타 인터넷 정보매개 서비스업,인터넷검색사이트 운영인터넷방송컨텐츠검색고도정보통신서비스게임컨텐츠제공광고대행
농협은행,국내은행,국내은행
커피빈코리아,음식료·외식·프랜차이즈, 특별등급의 원두커피와 차 대한민국에서 가장 맛있는 커피
비지에프리테일,체인화 편의점, 체인화 편의점
대한무역투자진흥공사,공기업·공공기관, 해외시장개척 및 해외투자진출 지원 시장 정보 조사 외국인 투자 유치
에스케이쉴더스,시설관리·보안·경비, 무인경비 영상보안 출입통제 정보보안
씨제이이앤엠,방송·케이블·프로덕션,종합 콘텐츠 기업
포스코홀딩스,제철업,열연코일냉연강판후판선재스테인리스 제조
현대백화점,기타 음ㆍ식료품 위주 종합 소매업,푸드서비스(단체급식)식자재공산품생식품 유통서비스
삼일회계법인,회계·세무·법무,서비스
